iter	Passed	Remaining
0	6	6570
1	12	6252
2	18	6087
3	23	5903
4	49	9804
5	58	9654
6	63	9027
7	68	8539
8	73	8130
9	79	7838
10	84	7589
11	89	7376
12	94	7201
13	99	7025
14	104	6885
15	109	6763
16	115	6662
17	120	6567
18	125	6478
19	131	6427
20	136	6357
21	141	6290
22	146	6238
23	151	6173
24	156	6119
25	162	6070
26	167	6023
27	172	5981
28	177	5942
29	182	5905
30	188	5886
31	193	5842
32	198	5817
33	203	5782
34	208	5757
35	213	5725
36	218	5686
37	223	5655
38	228	5633
39	233	5614
40	238	5587
41	243	5562
42	248	5539
43	254	5523
44	259	5500
45	264	5477
46	269	5458
47	274	5440
48	279	5420
49	284	5407
50	289	5392
51	294	5375
52	299	5359
53	305	5345
54	310	5329
55	315	5318
56	320	5306
57	325	5291
58	331	5279
59	336	5268
60	341	5260
61	346	5248
62	352	5235
63	357	5224
64	363	5225
65	368	5212
66	373	5201
67	378	5189
68	383	5176
69	388	5162
70	393	5147
71	398	5141
72	404	5132
73	409	5120
74	413	5105
75	419	5095
76	424	5082
77	428	5069
78	433	5059
79	439	5050
80	444	5040
81	449	5037
82	455	5030
83	460	5023
84	465	5015
85	470	5002
86	475	4993
87	480	4984
88	485	4972
89	491	4965
90	495	4954
91	501	4946
92	506	4935
93	511	4927
94	516	4917
95	521	4906
96	526	4897
97	531	4889
98	536	4884
99	541	4877
100	546	4866
101	551	4858
102	557	4851
103	562	4843
104	567	4835
105	572	4828
106	577	4819
107	582	4809
108	587	4799
109	592	4790
110	596	4780
111	602	4773
112	607	4766
113	612	4756
114	617	4753
115	622	4745
116	627	4737
117	632	4729
118	637	4722
119	643	4715
120	647	4706
121	653	4699
122	658	4693
123	663	4687
124	668	4681
125	673	4674
126	678	4666
127	683	4659
128	689	4653
129	694	4646
130	699	4640
131	704	4633
132	709	4625
133	714	4617
134	719	4611
135	724	4603
136	730	4599
137	735	4592
138	739	4582
139	745	4577
140	750	4571
141	755	4564
142	760	4559
143	766	4553
144	771	4548
145	776	4540
146	781	4537
147	787	4531
148	792	4526
149	797	4519
150	802	4513
151	807	4507
152	812	4499
153	817	4492
154	822	4486
155	828	4480
156	833	4472
157	837	4464
158	842	4458
159	848	4453
160	853	4447
161	858	4442
162	864	4436
163	869	4430
164	874	4426
165	879	4419
166	884	4411
167	889	4405
168	895	4402
169	900	4395
170	906	4394
171	913	4397
172	920	4398
173	925	4394
174	931	4391
175	937	4387
176	942	4380
177	947	4375
178	952	4369
179	957	4363
180	963	4359
181	968	4355
182	974	4348
183	979	4343
184	984	4338
185	990	4333
186	995	4326
187	1000	4321
188	1005	4314
189	1010	4309
190	1016	4303
191	1021	4297
192	1025	4288
193	1030	4282
194	1035	4276
195	1041	4270
196	1046	4264
197	1051	4258
198	1056	4252
199	1061	4246
200	1066	4241
201	1072	4236
202	1077	4229
203	1082	4224
204	1089	4223
205	1095	4223
206	1100	4217
207	1105	4210
208	1111	4205
209	1116	4200
210	1121	4195
211	1126	4188
212	1132	4182
213	1137	4177
214	1142	4171
215	1148	4168
216	1154	4164
217	1159	4159
218	1164	4153
219	1169	4146
220	1174	4139
221	1179	4133
222	1184	4127
223	1189	4122
224	1195	4117
225	1201	4113
226	1206	4109
227	1212	4105
228	1217	4100
229	1223	4095
230	1228	4089
231	1233	4084
232	1239	4080
233	1244	4074
234	1250	4069
235	1256	4067
236	1266	4076
237	1294	4145
238	1321	4209
239	1344	4258
240	1355	4268
241	1364	4274
242	1373	4278
243	1380	4278
244	1388	4278
245	1396	4280
246	1403	4279
247	1411	4279
248	1418	4277
